FIRE_NUM, XStart, YStart, FireSize
87, 376073.675296, 5724636.445095, 5.634003
88, 373819.124298, 5726160.753583, 36.176228
89, 375424.287043, 5727240.992813, 90.341728
90, 373051.272181, 5726688.207597, 57.921501
91, 377444.399474, 5724319.482677, 3.360633
92, 376041.921028, 5731207.491752, 53.770131
93, 379985.867732, 5726947.452094, 121.081637
94, 378529.745020, 5728566.019579, 83.126250
95, 372523.097117, 5726776.773958, 40.327598
96, 373364.457154, 5727751.373178, 99.731732
97, 376690.780970, 5730015.301736, 50.014129
98, 379134.211178, 5725833.742352, 52.485183
99, 377675.175731, 5728667.017807, 26.489697
100, 381659.996727, 5728218.270068, 70.672139
101, 376185.668689, 5730296.203567, 69.584875
102, 380308.817468, 5732070.354818, 0.790737
103, 376288.574068, 5724321.790797, 10.576110
104, 380500.097186, 5728973.902910, 92.219728
105, 374453.004107, 5730800.957136, 58.119186
106, 377539.004249, 5728174.709266, 25.402433
107, 372112.978732, 5728523.155560, 54.659710
108, 377433.984907, 5727414.424341, 92.911623
109, 374528.657920, 5729338.451642, 61.875188
110, 377941.231635, 5725313.615605, 98.545626
111, 374798.749254, 5724303.960280, 7.116635
112, 372167.726937, 5725477.839391, 0.098842
113, 379619.359585, 5727128.491834, 66.026558
114, 378304.969623, 5727999.449292, 70.869823
115, 373438.228917, 5725052.796781, 18.483483
116, 373245.110019, 5725264.812131, 22.041800
117, 376674.760731, 5729361.312479, 91.330149
118, 381017.455176, 5728999.175800, 25.204749
119, 379048.535454, 5729363.919305, 44.478969
120, 375772.056960, 5730056.822237, 47.641918
121, 379266.105142, 5732109.638164, 38.153071
122, 378628.695649, 5728486.215287, 87.969516
123, 375798.532827, 5729195.415510, 81.445934
124, 375683.868555, 5726727.776753, 27.478118
125, 376362.868737, 5726039.133404, 47.246549
126, 379751.281675, 5725475.994865, 71.759403
127, 376837.713070, 5727407.249252, 41.118336
128, 377418.464262, 5730549.611745, 55.450448
129, 379585.122164, 5725307.073429, 49.124550
130, 373630.194196, 5730398.500437, 61.084450
131, 381003.000751, 5727558.057076, 97.161836
132, 376792.405864, 5730208.242791, 46.554654
133, 377995.475198, 5725412.690258, 101.906259
134, 374582.833851, 5727647.090732, 88.562569
135, 378062.847877, 5727167.767204, 63.852031
136, 381540.599571, 5728875.304865, 87.178779
137, 379066.043956, 5732355.024960, 55.944658
138, 372096.323843, 5732960.878207, 10.971479
139, 372601.480720, 5730578.735922, 3.558317
140, 377657.130336, 5724356.376229, 20.954536
141, 376454.482016, 5725661.597772, 66.323084
142, 372313.604691, 5729621.604475, 34.298227
143, 378468.018601, 5730865.273380, 5.634003
144, 380194.302389, 5728519.444421, 98.842153
145, 374425.696415, 5727979.773712, 22.931379
146, 373413.829061, 5724652.864037, 14.529796
147, 372113.174668, 5724031.310722, 6.721266
148, 377769.692492, 5729677.797816, 56.340027
149, 378051.548307, 5726533.993791, 87.475305
150, 379763.266168, 5727159.404705, 41.612546
151, 379817.473195, 5727961.226693, 134.425328
152, 376936.582153, 5728761.070296, 35.879701
153, 375115.173366, 5731053.684816, 60.194871
154, 378293.233319, 5729422.550075, 53.473605
155, 375288.971749, 5727701.857934, 93.306992
156, 379747.435970, 5729567.589062, 78.777196
157, 373860.142694, 5724154.791412, 34.001701
158, 377654.344266, 5726300.291565, 48.037286
159, 373724.534792, 5724042.228478, 20.262641
160, 376191.623603, 5731556.114594, 61.677503
161, 375508.083647, 5730871.895059, 29.652646
162, 379228.314641, 5732951.782442, 36.275070
163, 373265.858779, 5729562.538957, 90.045201
164, 374924.144603, 5730081.090052, 48.234970
165, 379311.209953, 5728518.420463, 94.196571
166, 375554.256476, 5727905.635574, 43.589389
167, 379898.240840, 5724548.090084, 27.280434
168, 373281.611295, 5728862.251107, 88.068358
169, 377529.684736, 5725267.742847, 98.940995
170, 381215.821532, 5731161.492146, 3.064107
171, 378238.201060, 5726615.915226, 102.301628
172, 378023.410993, 5729601.629833, 52.979394
173, 378222.262489, 5730595.894437, 20.855694
174, 377720.539333, 5726382.888702, 117.918688
175, 373090.684437, 5728158.579751, 79.666775
176, 379737.598535, 5725884.271391, 87.969516
177, 380321.693250, 5728114.085711, 86.783410
178, 375154.590874, 5724106.656407, 7.610846
179, 372230.788924, 5732209.667255, 50.014129
180, 375882.327592, 5729294.130872, 74.428141
181, 380401.500170, 5729513.414732, 102.301628
182, 380510.880747, 5729608.523890, 81.643618
183, 373590.171519, 5729689.898992, 74.230457
184, 374668.464373, 5727881.835340, 40.426440
185, 375192.949803, 5729802.323113, 59.601818
186, 375140.834019, 5729705.602556, 55.944658
187, 379500.182720, 5724524.929787, 44.874337
188, 378578.725567, 5726150.332744, 128.593641
189, 378142.613884, 5726419.333395, 103.981945
190, 377964.592834, 5725666.143195, 138.477856
191, 378208.629579, 5725235.760852, 114.162686
192, 374837.323719, 5727146.772146, 94.987309
193, 376313.695797, 5727683.144207, 49.618761
194, 379846.812074, 5726367.123830, 42.007915
195, 372645.878927, 5729090.101385, 61.084450
196, 376170.365024, 5727278.003133, 67.014979
197, 373762.353140, 5729051.077766, 30.245699
198, 373401.467379, 5724833.596941, 14.628639
199, 373069.808864, 5727632.763355, 78.381827
200, 379929.897962, 5726739.432544, 125.924902
201, 373367.441153, 5727301.410034, 106.551841
202, 379805.129771, 5725537.825426, 77.887616
203, 378704.303645, 5725672.722913, 94.097729
204, 373042.732200, 5732169.751302, 2.471054
205, 376127.715053, 5726450.073502, 96.272257
206, 380134.226972, 5726278.084369, 76.998037
207, 381435.534623, 5727999.091242, 98.940995
208, 379826.136395, 5732324.551883, 28.960751
209, 379671.369753, 5726450.839059, 31.530647
210, 376830.006580, 5727041.914990, 68.596454
211, 379286.618547, 5729787.347459, 25.995486
212, 372332.344839, 5728633.962367, 0.098842
213, 377308.932327, 5732816.565579, 28.565382
214, 376490.406174, 5727461.231162, 69.189507
215, 377402.550595, 5729693.131343, 26.292013
216, 380806.090345, 5728719.176360, 88.760253
217, 377312.319026, 5726814.077900, 26.588539
218, 375813.871925, 5728270.831590, 99.731732
219, 379024.866993, 5725722.117814, 89.946359
220, 376079.911316, 5732601.224449, 1.383790
221, 376906.910359, 5728938.221223, 43.787074
222, 376838.201511, 5724745.794470, 30.344541
223, 378152.869772, 5725569.001912, 153.205337
224, 375443.271133, 5731596.827901, 54.165500
225, 381617.877434, 5728378.890662, 73.637404
226, 379650.498315, 5728828.758424, 85.597304
227, 372888.538740, 5730319.690692, 59.601818
228, 377589.552072, 5728597.099375, 32.024857
229, 377116.034055, 5725448.857036, 79.567933
230, 381447.690986, 5728075.448162, 106.057630
231, 373980.291371, 5727979.444546, 60.491397
232, 380725.890439, 5730460.393347, 17.791587
233, 379539.434005, 5724851.350920, 85.597304
234, 379749.351686, 5732647.012055, 43.391705
235, 379695.750782, 5727003.278308, 81.742460
236, 372770.671822, 5732970.915616, 16.111271
237, 372833.084723, 5729220.193842, 72.747824
238, 372976.730722, 5728105.200550, 63.852031
239, 372103.041441, 5728667.628714, 39.042650
240, 376777.743102, 5728325.949445, 54.066657
241, 372328.188808, 5732163.442931, 50.706024
242, 375671.657956, 5728099.418289, 48.926866
243, 381622.859525, 5731599.206031, 0.593053
244, 376296.337201, 5724142.399748, 11.959900
245, 379926.677132, 5724639.997086, 24.611696
246, 379068.417729, 5732514.266303, 75.021194
247, 379428.044608, 5726535.022694, 43.490547
248, 376694.220973, 5725116.570016, 8.500425
249, 374956.545023, 5728582.830643, 17.890430
250, 381716.613822, 5731904.085412, 5.732845
251, 374865.531926, 5729593.825120, 45.862759
252, 374677.141739, 5730585.730310, 52.682867
253, 379999.884137, 5725827.607280, 60.392555
254, 376069.996428, 5729772.222210, 29.949172
255, 379473.613678, 5732327.745041, 48.828023
256, 379540.776777, 5726136.266087, 82.236671
257, 377764.612495, 5728865.694753, 67.706875
258, 373611.869390, 5725059.567909, 11.366848
259, 374885.540936, 5727244.689815, 108.924052
260, 372485.238606, 5729980.215478, 0.098842
261, 377682.579890, 5725669.654085, 68.299927
262, 379949.012381, 5725973.614222, 78.579511
263, 376455.032944, 5725823.149637, 65.433505
264, 373701.869855, 5724085.305888, 32.815595
265, 376317.400924, 5730884.147289, 61.776345
266, 378709.195650, 5732542.075192, 80.951723
267, 372795.375853, 5730089.188107, 36.868123
268, 374071.374034, 5726909.856675, 24.809380
269, 378448.154965, 5729776.277630, 53.177078
270, 373081.324682, 5730180.862398, 66.817295
271, 379191.729304, 5727417.583066, 47.938444
272, 378487.552128, 5729321.913614, 23.129064
273, 373374.814150, 5728856.617294, 83.521619
274, 378334.377443, 5727868.782063, 70.869823
275, 375325.571810, 5729282.318449, 56.636553
276, 377898.855152, 5726571.757891, 76.404984
277, 380267.439433, 5727072.041319, 92.022044
278, 379594.296497, 5725141.430445, 85.794988
279, 376233.242138, 5726755.072099, 74.230457
280, 372193.674814, 5726160.811259, 26.588539
281, 379148.920865, 5729678.101451, 40.624125
282, 373491.397441, 5728839.688125, 79.864459
283, 378124.493368, 5728410.197155, 81.248249
284, 375080.056073, 5731266.608840, 79.370249
285, 375212.492439, 5731335.448785, 76.108458
286, 373586.673756, 5729536.268948, 82.236671
287, 376237.363497, 5724614.425814, 6.622424
288, 378837.561876, 5732506.294815, 83.916988
289, 374179.360485, 5728533.253431, 54.857395
290, 378433.609192, 5727509.144532, 34.891280
291, 379134.322290, 5727887.876224, 67.113822
292, 376140.060871, 5730166.935337, 28.960751
293, 373213.868979, 5729662.789104, 81.248249
294, 376740.792351, 5727150.097561, 78.085301
295, 376033.713361, 5727367.069499, 68.299927
296, 381470.751861, 5728486.364946, 119.697847
297, 378168.062191, 5728134.156435, 79.963301
298, 377963.789288, 5728761.126987, 82.335513
299, 375041.090178, 5729936.431876, 30.739909
300, 375220.401315, 5731541.835317, 56.438869
301, 380420.583785, 5726856.496031, 70.177928
302, 378563.749992, 5727722.084192, 42.106757
303, 375277.404815, 5732398.480465, 9.686531
304, 372515.281406, 5729048.747525, 96.964152
305, 374302.377376, 5726709.890768, 54.758553
306, 380429.074109, 5731309.218275, 7.116635
307, 377295.908987, 5725634.517041, 52.880552
308, 372683.397394, 5727043.846297, 14.529796
309, 377494.308736, 5730775.949480, 34.495911
310, 376855.783741, 5725534.501938, 75.021194
311, 374782.324649, 5730790.694614, 63.852031
312, 377856.534251, 5729519.594668, 67.113822
313, 372061.101809, 5729219.578593, 10.378426
314, 378419.436818, 5724886.225476, 76.503826
315, 375461.272984, 5726491.401940, 29.257277
316, 372525.096191, 5732586.682655, 39.734545
317, 376646.404369, 5731577.106933, 3.162949
318, 380506.400172, 5729297.530476, 121.971216
319, 378734.981510, 5727673.170496, 38.548440
320, 372823.679012, 5729866.467436, 46.159285
